,Temperature,ReactionCoordinate,Repeat,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,postTemperature,MaxJump,Valid
60,0.0,0.7000000000000001,2,1,1,1,-2828.1726414495943,1.4041410605128343e-06,-0.720182182094339,0.0,0.3539945019096624,0.3539945019096624,5.442067254679181e-06,0.00467434759929497,True
61,0.0,0.7000000000000001,2,1,1,1,-2828.1726414495943,1.4041410605128343e-06,-0.720182182094339,0.0,0.3539945019096624,0.3539945019096624,5.442067254679181e-06,0.00467434759929497,True
62,0.0,0.7000000000000001,2,1,1,1,-2828.1726414495943,1.4041410605128343e-06,-0.720182182094339,0.0,0.3539945019096624,0.3539945019096624,5.442067254679181e-06,0.00467434759929497,True
63,0.0,0.7000000000000001,2,1,1,1,-2828.1726414495943,1.4041410605128343e-06,-0.720182182094339,0.0,0.3539945019096624,0.3539945019096624,5.442067254679181e-06,0.00467434759929497,True
64,0.0,0.8,1,1,1,1,-2828.256267960101,3.1076599649644605e-06,-0.8895110684326054,0.0,0.42304214034187676,0.42304214034187676,1.2137924008728471e-05,0.0058833657354723885,True
65,0.0,0.8,1,1,1,1,-2828.256267960101,3.1076599649644605e-06,-0.8895110684326054,0.0,0.42304214034187676,0.42304214034187676,1.2137924008728471e-05,0.0058833657354723885,True
66,0.0,0.8,1,1,1,1,-2828.256267960101,3.1076599649644605e-06,-0.8895110684326054,0.0,0.42304214034187676,0.42304214034187676,1.2137924008728471e-05,0.0058833657354723885,True
67,0.0,0.8,1,1,1,1,-2828.256267960101,3.1076599649644605e-06,-0.8895110684326054,0.0,0.42304214034187676,0.42304214034187676,1.2137924008728471e-05,0.0058833657354723885,True
68,0.0,0.8,2,1,1,1,-2828.256267960101,3.4714290803321754e-06,-0.8895112055508381,-1.1102230246251565e-16,0.4230422055538709,0.4230422055538709,1.268495027487875e-05,0.005883472173546412,True
69,0.0,0.8,2,1,1,1,-2828.256267960101,3.4714290803321754e-06,-0.8895112055508381,-1.1102230246251565e-16,0.4230422055538709,0.4230422055538709,1.268495027487875e-05,0.005883472173546412,True
70,0.0,0.8,2,1,1,1,-2828.256267960101,3.4714290803321754e-06,-0.8895112055508381,-1.1102230246251565e-16,0.4230422055538709,0.4230422055538709,1.268495027487875e-05,0.005883472173546412,True
71,0.0,0.8,2,1,1,1,-2828.256267960101,3.4714290803321754e-06,-0.8895112055508381,-1.1102230246251565e-16,0.4230422055538709,0.4230422055538709,1.268495027487875e-05,0.005883472173546412,True
72,0.0,0.9,1,1,1,1,-2828.3380812109103,3.98541880403003e-06,-0.6929046044879347,5.551115123125783e-17,0.3161292515636589,0.3161292515636589,1.4500667596039166e-05,0.009135603638299761,True
73,0.0,0.9,1,1,1,1,-2828.3380812109103,3.98541880403003e-06,-0.6929046044879347,5.551115123125783e-17,0.3161292515636589,0.3161292515636589,1.4500667596039166e-05,0.009135603638299761,True
74,0.0,0.9,1,1,1,1,-2828.3380812109103,3.98541880403003e-06,-0.6929046044879347,5.551115123125783e-17,0.3161292515636589,0.3161292515636589,1.4500667596039166e-05,0.009135603638299761,True
75,0.0,0.9,1,1,1,1,-2828.3380812109103,3.98541880403003e-06,-0.6929046044879347,5.551115123125783e-17,0.3161292515636589,0.3161292515636589,1.4500667596039166e-05,0.009135603638299761,True
76,0.0,0.9,2,1,1,1,-2828.3380812109103,4.517432932408477e-06,-0.6929051495282076,1.1102230246251565e-16,0.31612950023161757,0.31612950023161757,1.5127386180529118e-05,0.009135606787657801,True
77,0.0,0.9,2,1,1,1,-2828.3380812109103,4.517432932408477e-06,-0.6929051495282076,1.1102230246251565e-16,0.31612950023161757,0.31612950023161757,1.5127386180529118e-05,0.009135606787657801,True
78,0.0,0.9,2,1,1,1,-2828.3380812109103,4.517432932408477e-06,-0.6929051495282076,1.1102230246251565e-16,0.31612950023161757,0.31612950023161757,1.5127386180529118e-05,0.009135606787657801,True
79,0.0,0.9,2,1,1,1,-2828.3380812109103,4.517432932408477e-06,-0.6929051495282076,1.1102230246251565e-16,0.31612950023161757,0.31612950023161757,1.5127386180529118e-05,0.009135606787657801,True
80,0.0,1.0,1,1,1,1,-2828.3785162465333,5.758880204217122e-07,2.6753482516410877e-06,0.0,-1.003412946354608e-06,-1.003412946354608e-06,5.529622926529652e-07,5.740938007672216e-07,True
81,0.0,1.0,1,1,1,1,-2828.3785162465333,5.758880204217122e-07,2.6753482516410877e-06,0.0,-1.003412946354608e-06,-1.003412946354608e-06,5.529622926529652e-07,5.740938007672216e-07,True
82,0.0,1.0,1,1,1,1,-2828.3785162465333,5.758880204217122e-07,2.6753482516410877e-06,0.0,-1.003412946354608e-06,-1.003412946354608e-06,5.529622926529652e-07,5.740938007672216e-07,True
83,0.0,1.0,1,1,1,1,-2828.3785162465333,5.758880204217122e-07,2.6753482516410877e-06,0.0,-1.003412946354608e-06,-1.003412946354608e-06,5.529622926529652e-07,5.740938007672216e-07,True
84,0.0,1.0,2,1,1,1,-2828.3785162465333,5.114041376927226e-14,-3.4004216761215575e-09,-1.5407439555097887e-33,1.2753581261027352e-09,1.2753581261027352e-09,4.896528410968968e-14,6.25926899727298e-10,True
85,0.0,1.0,2,1,1,1,-2828.3785162465333,5.114041376927226e-14,-3.4004216761215575e-09,-1.5407439555097887e-33,1.2753581261027352e-09,1.2753581261027352e-09,4.896528410968968e-14,6.25926899727298e-10,True
86,0.0,1.0,2,1,1,1,-2828.3785162465333,5.114041376927226e-14,-3.4004216761215575e-09,-1.5407439555097887e-33,1.2753581261027352e-09,1.2753581261027352e-09,4.896528410968968e-14,6.25926899727298e-10,True
87,0.0,1.0,2,1,1,1,-2828.3785162465333,5.114041376927226e-14,-3.4004216761215575e-09,-1.5407439555097887e-33,1.2753581261027352e-09,1.2753581261027352e-09,4.896528410968968e-14,6.25926899727298e-10,True
88,100.0,0.0,1,100,50,50,-2828.3785162465433,43.61486341163127,-0.13123570845208762,3.469446951953614e-18,0.0690052097240939,0.0690052097240939,82.62680005874675,7.924290031569449e-06,True
89,100.0,0.0,1,100,50,50,-2828.3785162465433,43.54720423365463,-0.0014226569705421983,-4.235164736271502e-22,0.0007480490163509824,0.0007480490163509824,83.12910019092534,6.801532234040915e-06,True
