,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
141,30.0,1.0,2000,1000,100,-480.6641897641251,31.861167869895255,11.005435140759051,5.282136821855518e-27,1.000000000000504,3.519231183576362e-14,-481.5318601361358,29.26242084276193,0.6659692186164646,False,1
142,30.0,1.0,2000,1000,100,-480.6641897641251,28.930047637840097,11.02030555428148,8.381323460433257e-27,1.0000000000005065,4.039345409276721e-15,-481.5318601361358,30.748924886412745,0.6659700025803021,False,1
143,30.0,1.0,2000,1000,100,-480.6641897641251,33.474706933880945,11.008127645964995,5.283177218053895e-27,1.000000000000496,5.882147172614043e-15,-481.5318601361358,29.929240043356565,0.6659695932302053,False,1
144,300.0,0.0,2000,1000,100,-484.0123511597723,315.49639367586565,-4.509376082394993,1.2504294392620059e-26,0.999999999999762,1.1342543830212546e-14,-484.01753189608786,297.94226895255395,0.2859858309154079,True,1
145,300.0,0.0,2000,1000,100,-484.0123511597723,263.0637947586411,-4.545850020125534,1.9487848765294895e-26,0.9999999999997589,7.616451424954777e-15,-484.01753189608786,294.32150602120896,0.28598573723434345,True,1
146,300.0,0.0,2000,1000,100,-484.0123511597723,281.520783873746,-4.456372821154287,2.1504656775976933e-26,0.9999999999997553,8.168338017300814e-15,-484.01753189608786,297.3056329821368,0.2859853633040907,True,1
147,300.0,0.0,2000,1000,100,-484.0123511597723,319.16636578497724,-4.52247801330224,1.3653199999047436e-26,0.9999999999997796,2.4037981653606385e-14,-484.01753189608786,295.5973483811764,0.28598466726681976,True,1
148,300.0,0.0,2000,1000,100,-484.0123511597723,278.3460790827758,-4.596682026697125,1.4432938005901066e-26,0.9999999999997895,4.7699531498061125e-15,-484.01753189608786,301.09448211926536,0.28598562044260334,True,1
149,300.0,0.0,2000,1000,100,-484.0123511597723,297.32542309613314,-4.512973008607387,2.031186767920343e-26,0.9999999999997577,2.4051723897402752e-14,-484.01753189608786,304.88044107347685,0.2859869550998742,True,1
150,300.0,0.0,2000,1000,100,-484.0123511597723,290.3093517569633,-4.505471031891866,2.077802147782116e-26,0.9999999999997576,2.6853135710613597e-14,-484.01753189608786,298.0431361288597,0.2859858904062929,True,1
151,300.0,0.0,2000,1000,100,-484.0123511597723,315.4621179403177,-4.484727461903267,1.8433470258734095e-26,0.9999999999997614,8.239279858651864e-15,-484.01753189608786,290.54056109464926,0.2859841405668501,True,1
152,300.0,0.125,2000,1000,100,-484.26720503050893,296.8081236957725,-2.6072182359352474,3.1624140921067837e-27,1.000000000000021,5.019360049343167e-15,-484.2739317697661,289.9924019914713,0.1668558509017025,True,1
153,300.0,0.125,2000,1000,100,-484.26720503050893,315.86706858066896,-2.5543090862454574,2.3657304749676493e-27,1.0000000000000138,1.5595582410700638e-14,-484.2739317697661,299.26000769220224,0.1668556756091013,True,1
